Zone,mesozone,totalemp
1579,93,918
1580,93,1339
1581,93,665
1582,93,327
1583,93,453
1584,93,24
1585,93,690
1586,93,561
1587,93,57
1588,93,667
1589,93,50
1590,93,1198
1591,93,0
1592,93,0
1593,93,13
1594,93,627
1595,93,2050
1596,97,93
1597,97,84
1598,97,991
1599,97,18
1600,103,0
1601,103,2
1602,103,85
1603,103,1
1604,109,80
1605,109,8
1606,109,70
1607,109,19
1608,91,381
1609,91,357
1610,91,1422
1611,91,1520
1612,91,566
1613,91,1275
1614,91,275
1615,91,18
1616,91,613
1617,94,198
1618,94,1078
1619,94,250
1620,94,1612
1621,94,1728
1622,94,1807
1623,94,726
1624,94,990
1625,94,779
1626,98,84
1627,98,4
1628,98,80
1629,98,884
1630,98,7
1631,98,22
1632,98,0
1633,98,41
1634,98,0
1635,104,52
1636,104,23
1637,104,9
1638,104,13
1639,95,2035
1640,95,6181
1641,95,7284
1642,95,1262
1643,95,5143
1644,95,1748
1645,95,1104
1646,95,3211
1647,95,411
1648,99,43
1649,99,112
1650,99,73
1651,99,54
1652,99,142
1653,99,73
1654,99,24
1655,99,14
1656,99,2
1657,105,35
1658,105,88
1659,105,27
1660,105,1014
1661,100,1466
1662,100,2328
1663,100,481
1664,100,1673
1665,100,1066
1666,100,288
1667,100,51
1668,100,41
1669,100,1
1670,106,2
1671,106,9
1672,106,140
1673,106,8
1674,101,1537
1675,101,630
1676,101,655
1677,101,57
1678,101,496
1679,101,194
1680,101,118
1681,101,98
1682,101,6
1683,101,201
1684,101,67
1685,107,1005
1686,107,94
1687,107,26
1688,107,209
1689,107,123
1690,107,18
1691,110,14
1692,110,993
1693,111,360
1694,111,1169
1695,112,3126
1696,112,573
1697,112,785
1698,112,1203
1699,112,4148
1700,110,890
1701,110,1329
1702,111,2312
1703,111,105
1704,111,1064
1705,112,137
1706,113,100
1707,114,2170
1708,115,840
1709,116,348
1710,117,89
1711,118,311
1712,119,4853
1713,119,1056
1714,119,86
1715,119,3487
1716,119,597
1717,119,4432
1718,119,74
1719,119,192
1720,119,1242
1721,119,19
1722,119,25
1723,119,387
1724,120,153
1725,120,19
1726,120,243
1727,120,677
1728,120,7517
1729,120,310
1730,120,3282
1731,120,458
1732,121,360
1733,121,302
1734,121,687
1735,121,61
1736,121,125
1737,121,4380
1738,121,631
1739,121,5414
1740,121,401
1741,121,5101
1742,121,4387
1743,121,2568
1744,121,11
1745,121,239
1746,121,54
1747,121,288
1748,121,207
1749,121,382
1750,121,14
1751,121,53
1752,121,2227
1753,122,58
1754,122,3349
1755,122,109
1756,122,389
1757,122,104
1758,122,50
1759,122,166
1760,122,3778
1761,122,5240
1762,122,6634
1763,122,3341
1764,122,4344
1765,122,7891
1766,122,2327
1767,122,1899
1768,122,861
1769,122,142
1770,122,724
1771,122,322
1772,122,313
1773,122,467
1774,122,95
1775,123,969
1776,123,1363
1777,123,2514
1778,123,4476
1779,123,1113
1780,123,959
1781,123,3350
1782,123,3209
1783,123,2325
1784,123,1882
1785,123,3523
1786,123,4961
1787,123,1973
1788,123,4654
1789,123,802
1790,123,7253
1791,123,1157
1792,123,1162
1793,123,518
1794,123,4879
1795,123,419
1796,123,2869
1797,123,5754
1798,123,7479
1799,123,5518
1800,123,1175
1801,123,1857
1802,123,3566
1803,123,8861
1804,123,10953
1805,123,5102
1806,123,4721
1807,123,1389
1808,123,615
1809,123,7229
1810,123,6827
1811,123,660
