Origin,Destination,Time
12,49,0.922
12,50,0.838
12,51,0.798
12,52,0.725
12,53,0.815
12,54,0.688
12,55,0.664
12,56,0.558
12,57,0.594
12,58,0.578
12,59,0.525
12,60,0.439
12,61,0.478
12,62,0.898
12,63,0.807
12,64,0.654
12,65,0.978
12,66,0.921
12,67,0.656
12,68,0.926
12,69,0.771
12,70,0.707
12,71,1.004
12,72,0.931
12,73,0.692
12,74,0.995
12,75,1.026
12,76,0.756
12,77,0.504
12,78,0.353
12,79,0.166
12,80,0.558
12,81,0.409
12,82,0.277
12,83,0.625
12,84,0.511
12,85,0.478
12,86,0.547
12,87,0.76
12,88,0.611
12,89,0.808
12,90,0.738
12,91,0.717
12,92,0.936
12,93,0.948
12,94,0.866
12,95,0.713
12,96,1.079
12,97,1.08
12,98,1.168
12,99,0.907
12,100,0.983
12,101,1.116
12,102,1.201
12,103,1.264
12,104,1.13
12,105,1.085
12,106,1.253
12,107,1.168
12,108,1.366
12,109,1.452
12,110,1.183
12,111,1.039
12,112,0.833
12,113,1.131
12,114,1.067
12,115,0.934
12,116,1.348
12,117,1.199
12,118,1.052
12,119,1.434
12,120,1.431
12,121,1.219
12,122,1.329
12,123,1.819
12,124,1.646
12,125,1.604
12,126,1.826
12,127,1.216
12,128,1.42
12,129,1.789
12,130,1.076
12,131,1.321
12,132,1.576
13,1,0.615
13,2,0.544
13,3,0.384
13,4,0.308
13,5,0.292
13,6,0.657
13,7,0.497
13,8,0.351
13,9,0.247
13,10,0.181
13,11,0.208
13,12,0.15
13,13,0.067
13,14,0.102
13,15,0.313
13,16,0.135
13,17,0.236
13,18,0.417
13,19,0.281
13,20,0.355
13,21,0.633
13,22,0.511
13,23,0.404
13,24,0.542
13,25,0.644
13,26,0.541
13,27,0.666
13,28,0.677
13,29,0.833
13,30,1.518
13,31,1.42
13,32,1.34
13,33,1.13
13,34,1.464
13,35,1.268
13,36,1.162
13,37,1.049
13,38,1.281
13,39,1.188
13,40,1.044
13,41,0.923
13,42,1.352
13,43,1.114
13,44,0.976
13,45,0.821
13,46,1.176
13,47,1.022
13,48,0.884
13,49,0.898
13,50,0.934
13,51,0.848
13,52,0.763
13,53,0.791
13,54,0.784
13,55,0.715
13,56,0.608
13,57,0.568
13,58,0.674
13,59,0.621
13,60,0.49
13,61,0.442
13,62,1.034
13,63,0.925
13,64,0.772
13,65,1.115
13,66,1.058
13,67,0.793
13,68,1.034
13,69,0.88
13,70,0.815
13,71,1.112
13,72,1.039
13,73,0.814
13,74,1.12
13,75,1.151
13,76,0.881
13,77,0.641
13,78,0.49
13,79,0.303
13,80,0.679
13,81,0.531
13,82,0.402
13,83,0.75
13,84,0.636
13,85,0.559
13,86,0.607
13,87,0.885
13,88,0.671
13,89,0.868
13,90,0.798
13,91,0.777
13,92,0.996
13,93,1.012
13,94,0.932
13,95,0.778
13,96,1.139
13,97,1.143
13,98,1.232
13,99,0.964
13,100,0.854
13,101,0.967
13,102,1.261
13,103,1.315
13,104,1.181
13,105,1.048
13,106,1.124
13,107,1.038
13,108,1.426
13,109,1.516
13,110,1.308
13,111,1.164
13,112,0.958
13,113,1.256
13,114,1.191
13,115,0.994
13,116,1.415
13,117,1.266
13,118,1.112
13,119,1.494
13,120,1.549
13,121,1.327
13,122,1.38
13,123,1.937
13,124,1.754
13,125,1.73
13,126,1.893
13,127,1.067
13,128,1.271
13,129,1.641
13,130,1.127
13,131,1.371
13,132,1.672
14,1,0.716
14,2,0.64
14,3,0.48
14,4,0.404
14,5,0.39
14,6,0.753
14,7,0.593
14,8,0.448
14,9,0.343
14,10,0.25
14,11,0.209
14,12,0.251
14,13,0.102
14,14,0.043
14,15,0.414
14,16,0.236
14,17,0.23
14,18,0.518
14,19,0.357
14,20,0.348
14,21,0.734
14,22,0.609
14,23,0.48
14,24,0.536
14,25,0.743
14,26,0.617
