Industry_NAICS6_CBP,FAFZONE,CBPZONE,employment,establishment,e1,e2,e3,e4,e5,e6,e7,e8
711320,486,107,1396,72,58,0,0,0,0,0,0,0
711320,488,109,138,17,10,3,0,0,0,0,0,0
711320,489,110,292,25,15,0,0,0,0,0,0,0
711320,491,111,276,40,27,0,0,0,0,0,0,0
711320,499,112,143,29,22,0,0,0,0,0,0,0
711320,500,113,39,21,12,0,0,0,0,0,0,0
711320,511,114,39,9,4,0,0,0,0,0,0,0
711320,512,115,156,21,10,0,0,0,0,0,0,0
711320,513,116,117,44,30,0,0,0,0,0,0,0
711320,519,117,31,16,9,0,0,0,0,0,0,0
711320,531,118,429,82,69,0,0,0,0,0,0,0
711320,539,119,70,24,19,0,0,0,0,0,0,0
711320,551,121,77,27,19,0,0,0,0,0,0,0
711320,551,55101,12,5,3,0,0,0,0,0,0,0
711320,559,122,141,47,32,0,0,0,0,0,0,0
711320,559,55127,11,5,3,0,0,0,0,0,0,0
711320,560,123,13,8,6,0,0,0,0,0,0,0
711410,11,1,13,5,4,0,0,0,0,0,0,0
711410,41,5,154,55,47,0,0,0,0,0,0,0
711410,50,8,19,6,3,0,0,0,0,0,0,0
711410,61,9,9249,1557,1473,44,6,0,3,0,0,0
711410,62,10,26,7,5,0,0,0,0,0,0,0
711410,63,11,182,61,59,0,0,0,0,0,0,0
711410,64,12,843,95,77,0,0,0,0,0,0,0
711410,69,13,43,13,8,0,0,0,0,0,0,0
711410,81,14,220,66,52,0,0,0,0,0,0,0
711410,89,15,9,6,5,0,0,0,0,0,0,0
711410,91,16,6,4,4,0,0,0,0,0,0,0
711410,92,17,300,26,21,0,0,0,0,0,0,0
711410,100,19,17,8,4,0,0,0,0,0,0,0
711410,111,20,88,20,16,0,0,0,0,0,0,0
711410,121,21,67,14,11,0,0,0,0,0,0,0
711410,122,22,521,266,249,0,0,0,0,0,0,0
711410,123,23,160,97,89,0,0,0,0,0,0,0
711410,124,24,125,53,50,0,0,0,0,0,0,0
711410,129,25,92,43,38,0,0,0,0,0,0,0
711410,131,26,402,143,113,0,0,0,0,0,0,0
711410,151,29,44,6,5,0,0,0,0,0,0,0
711410,171,17031,316,105,91,3,0,0,0,0,0,0
711410,171,17043,12,10,8,0,0,0,0,0,0,0
711410,171,17097,12,6,4,0,0,0,0,0,0,0
711410,171,17111,3,3,3,0,0,0,0,0,0,0
711410,181,18089,4,5,4,0,0,0,0,0,0,0
711410,182,36,23,16,8,0,0,0,0,0,0,0
711410,201,39,11,6,3,0,0,0,0,0,0,0
711410,211,41,10,5,3,0,0,0,0,0,0,0
711410,221,43,21,4,0,0,0,0,0,0,0,0
711410,223,45,47,18,12,0,0,0,0,0,0,0
711410,229,46,5,4,3,0,0,0,0,0,0,0
711410,230,47,11,4,0,0,0,0,0,0,0,0
711410,241,48,57,20,16,0,0,0,0,0,0,0
711410,242,49,44,19,15,0,0,0,0,0,0,0
711410,251,51,259,71,57,0,0,0,0,0,0,0
711410,259,52,6,3,0,0,0,0,0,0,0,0
711410,261,53,433,50,37,0,0,0,0,0,0,0
711410,269,55,5,4,3,0,0,0,0,0,0,0
711410,271,56,102,50,38,0,0,0,0,0,0,0
711410,291,59,11,5,4,0,0,0,0,0,0,0
711410,292,60,35,15,11,0,0,0,0,0,0,0
711410,310,63,4,6,4,0,0,0,0,0,0,0
711410,321,64,349,83,79,0,0,0,0,0,0,0
711410,329,65,9,5,5,0,0,0,0,0,0,0
711410,341,67,209,85,68,0,0,0,0,0,0,0
711410,342,68,18,9,9,0,0,0,0,0,0,0
711410,349,69,0,3,3,0,0,0,0,0,0,0
711410,350,70,654,5,3,0,0,0,0,0,0,0
711410,361,71,10,6,6,0,0,0,0,0,0,0
711410,362,72,8,7,7,0,0,0,0,0,0,0
711410,363,73,5927,849,756,40,5,0,0,0,0,0
711410,364,74,8,3,3,0,0,0,0,0,0,0
711410,369,75,13,3,0,0,0,0,0,0,0,0
711410,371,76,137,36,23,0,0,0,0,0,0,0
711410,372,77,14,5,3,0,0,0,0,0,0,0
711410,373,78,12,8,7,0,0,0,0,0,0,0
711410,379,79,14,8,6,0,0,0,0,0,0,0
711410,391,81,26,8,5,0,0,0,0,0,0,0
711410,392,82,897,22,14,0,0,0,0,0,0,0
711410,393,83,35,12,5,0,0,0,0,0,0,0
711410,394,84,5,6,5,0,0,0,0,0,0,0
711410,401,86,2,6,4,0,0,0,0,0,0,0
711410,402,87,20,9,6,0,0,0,0,0,0,0
711410,411,89,65,26,20,0,0,0,0,0,0,0
711410,421,91,56,39,35,0,0,0,0,0,0,0
711410,422,92,62,19,15,0,0,0,0,0,0,0
711410,429,93,10,3,3,0,0,0,0,0,0,0
711410,451,95,36,9,7,0,0,0,0,0,0,0
711410,452,96,8,5,4,0,0,0,0,0,0,0
711410,459,97,76,13,9,0,0,0,0,0,0,0
711410,471,99,36,5,3,0,0,0,0,0,0,0
711410,472,100,1387,217,176,7,0,0,0,0,0,0
711410,479,101,8,5,4,0,0,0,0,0,0,0
711410,481,102,169,56,43,0,0,0,0,0,0,0
711410,484,105,592,90,72,0,0,0,0,0,0,0
711410,486,107,174,43,32,0,0,0,0,0,0,0
711410,488,109,15,7,6,0,0,0,0,0,0,0
711410,491,111,10,9,7,0,0,0,0,0,0,0
711410,499,112,34,17,14,0,0,0,0,0,0,0
711410,511,114,66,11,3,0,0,0,0,0,0,0
711410,512,115,26,4,0,0,0,0,0,0,0,0
711410,513,116,133,19,11,0,0,0,0,0,0,0
711410,519,117,473,5,0,0,0,0,0,0,0,0
711410,531,118,111,49,44,0,0,0,0,0,0,0
