Country,Commodity_NAICS6,FAFZONE,ctrycod,CBPZONE,USImpVal
ARGENTINA,325414,803,8,131,12871906
ARGENTINA,325510,803,8,131,315376
ARGENTINA,325520,803,8,131,2736
ARGENTINA,325611,803,8,131,4356581.99564341
ARGENTINA,325612,803,8,131,3501076.99649892
ARGENTINA,325613,803,8,131,507109.99949289
ARGENTINA,325620,803,8,131,3590051
ARGENTINA,325920,803,8,131,657467
ARGENTINA,325998,803,8,131,38573472
ARGENTINA,326111,803,8,131,7540
ARGENTINA,326113,803,8,131,2942731
ARGENTINA,326121,803,8,131,3255
ARGENTINA,326122,803,8,131,3578
ARGENTINA,326140,803,8,131,1976
ARGENTINA,326160,803,8,131,1318980
ARGENTINA,326199,803,8,131,3551267
ARGENTINA,326211,803,8,131,43669079
ARGENTINA,326220,803,8,131,10711272
ARGENTINA,326291,803,8,131,1650
ARGENTINA,326299,803,8,131,6094296
ARGENTINA,327110,803,8,131,484602
ARGENTINA,327120,803,8,131,1980303
ARGENTINA,327211,803,8,131,458412
ARGENTINA,327212,803,8,131,40210
ARGENTINA,327213,803,8,131,11407
ARGENTINA,327215,803,8,131,69497
ARGENTINA,327390,803,8,131,12981
ARGENTINA,327420,803,8,131,8191
ARGENTINA,327910,803,8,131,100764
ARGENTINA,327991,803,8,131,901497
ARGENTINA,327999,803,8,131,2737
ARGENTINA,331110,803,8,131,148751821
ARGENTINA,331210,803,8,131,17214067
ARGENTINA,331313,803,8,131,458091374
ARGENTINA,331314,803,8,131,112693215
ARGENTINA,331315,803,8,131,3008726
ARGENTINA,331318,803,8,131,32949463
ARGENTINA,331410,803,8,131,740808756
ARGENTINA,331420,803,8,131,102433
ARGENTINA,331491,803,8,131,41296
ARGENTINA,331512,803,8,131,174881
ARGENTINA,332111,803,8,131,14022
ARGENTINA,332112,803,8,131,1451844
ARGENTINA,332119,803,8,131,630945
ARGENTINA,332215,803,8,131,372570.999627429
ARGENTINA,332216,803,8,131,2158229.99784177
ARGENTINA,332312,803,8,131,20019596.9799804
ARGENTINA,332321,803,8,131,66022
ARGENTINA,332410,803,8,131,1982817
ARGENTINA,332420,803,8,131,404580
ARGENTINA,332431,803,8,131,3934811
ARGENTINA,332439,803,8,131,328567
ARGENTINA,332510,803,8,131,450725
ARGENTINA,332613,803,8,131,909093
ARGENTINA,332618,803,8,131,17411441
ARGENTINA,332722,803,8,131,516339
ARGENTINA,332911,803,8,131,5310001
ARGENTINA,332912,803,8,131,125493
ARGENTINA,332913,803,8,131,887715
ARGENTINA,332919,803,8,131,13051
ARGENTINA,332991,803,8,131,3725141
ARGENTINA,332992,803,8,131,4108297.9958917
ARGENTINA,332994,803,8,131,6872546.99312745
ARGENTINA,332996,803,8,131,7725486
ARGENTINA,332999,803,8,131,1262543
ARGENTINA,333111,803,8,131,9536809
ARGENTINA,333112,803,8,131,35443
ARGENTINA,333120,803,8,131,1388530
ARGENTINA,333131,803,8,131,114424
ARGENTINA,333132,803,8,131,108314
ARGENTINA,333241,803,8,131,3224883
ARGENTINA,333242,803,8,131,14154
ARGENTINA,333243,803,8,131,347323
ARGENTINA,333249,803,8,131,7623948
ARGENTINA,333314,803,8,131,406085
ARGENTINA,333316,803,8,131,79869
ARGENTINA,333318,803,8,131,703700
ARGENTINA,333413,803,8,131,599315
ARGENTINA,333414,803,8,131,33080
ARGENTINA,333415,803,8,131,1954264
ARGENTINA,333511,803,8,131,5299
ARGENTINA,333514,803,8,131,14792
ARGENTINA,333515,803,8,131,60300
ARGENTINA,333517,803,8,131,480368
ARGENTINA,333519,803,8,131,9608013
ARGENTINA,333611,803,8,131,137516
ARGENTINA,333612,803,8,131,1123522
ARGENTINA,333613,803,8,131,1213011
ARGENTINA,333618,803,8,131,16909756
ARGENTINA,333912,803,8,131,2586457
ARGENTINA,333914,803,8,131,18556636
ARGENTINA,333921,803,8,131,10013137
ARGENTINA,333922,803,8,131,298387
ARGENTINA,333923,803,8,131,199627
ARGENTINA,333924,803,8,131,36081
ARGENTINA,333991,803,8,131,115692
ARGENTINA,333992,803,8,131,158588
ARGENTINA,333993,803,8,131,695236
ARGENTINA,333995,803,8,131,71724
ARGENTINA,333996,803,8,131,893239
ARGENTINA,333997,803,8,131,284074
ARGENTINA,333999,803,8,131,11795001
ARGENTINA,334111,803,8,131,307015
ARGENTINA,334112,803,8,131,24761
ARGENTINA,334118,803,8,131,209452
ARGENTINA,334220,803,8,131,148156
ARGENTINA,334290,803,8,131,79003
ARGENTINA,334310,803,8,131,252774
ARGENTINA,334412,803,8,131,15750
ARGENTINA,334413,803,8,131,40178
ARGENTINA,334416,803,8,131,427102
ARGENTINA,334418,803,8,131,765156
ARGENTINA,334419,803,8,131,292297
ARGENTINA,334510,803,8,131,1695936
ARGENTINA,334511,803,8,131,656689
ARGENTINA,334512,803,8,131,711249
ARGENTINA,334513,803,8,131,1591527
ARGENTINA,334514,803,8,131,6640
ARGENTINA,334515,803,8,131,2434908
ARGENTINA,334516,803,8,131,703983
